Date,Expected_Forecast,Best_Case,Worst_Case,Model_Used,Month,Quarter,Year,Is_Forecast,YoY_Growth,MoM_Growth,Forecast_Confidence
2010-12-01,286014.61,286014.61,286014.61,Actual,12,4,2010,False,,,100
2011-01-01,233908.01,233908.01,233908.01,Actual,1,1,2011,False,,-18.218160254121273,100
2011-02-01,220099.41000000003,220099.41000000003,220099.41000000003,Actual,2,1,2011,False,,-5.903431866228082,100
2011-03-01,286501.83999999997,286501.83999999997,286501.83999999997,Actual,3,1,2011,False,,30.169290322041277,100
2011-04-01,242996.611,242996.611,242996.611,Actual,4,2,2011,False,,-15.18497368114633,100
2011-05-01,325996.84,325996.84,325996.84,Actual,5,2,2011,False,,34.156949209468614,100
2011-06-01,291135.14,291135.14,291135.14,Actual,6,2,2011,False,,-10.693876664571356,100
2011-07-01,289833.55100000004,289833.55100000004,289833.55100000004,Actual,7,3,2011,False,,-0.4470738228301685,100
2011-08-01,306043.76,306043.76,306043.76,Actual,8,3,2011,False,,5.592937375286811,100
2011-09-01,482556.772,482556.772,482556.772,Actual,9,3,2011,False,,57.675742841481224,100
2011-10-01,527605.0800000001,527605.0800000001,527605.0800000001,Actual,10,4,2011,False,,9.335338474951516,100
2011-11-01,647874.2999999999,647874.2999999999,647874.2999999999,Actual,11,4,2011,False,,22.795311220278602,100
2011-12-01,178296.6,178296.6,178296.6,Actual,12,4,2011,False,,-72.47975417453662,100
2012-01-31,130969.07243461908,150614.43329981194,111323.71156942622,Trend_Seasonal,1,1,2012,True,,-26.544268127031543,100
2012-02-29,128351.41223083649,147604.12406546195,109098.70039621102,Trend_Seasonal,2,1,2012,True,,-1.9986857623118248,95
2012-03-31,173730.99262197182,199790.64151526758,147671.34372867603,Trend_Seasonal,3,1,2012,True,,35.3557312712083,90
2012-04-30,152996.0133308261,175945.41533045,130046.61133120218,Trend_Seasonal,4,2,2012,True,,-11.935106671648265,85
2012-05-31,212829.32041768142,244753.7184803336,180904.9223550292,Trend_Seasonal,5,2,2012,True,,39.10775567561793,80
2012-06-30,196834.14031364094,226359.26136068706,167309.01926659478,Trend_Seasonal,6,2,2012,True,,-7.515496489228857,75
2012-07-31,202688.42890518802,233091.6932409662,172285.1645694098,Trend_Seasonal,7,3,2012,True,,2.974224177888396,70
2012-08-31,221135.59251139735,254305.93138810692,187965.25363468775,Trend_Seasonal,8,3,2012,True,,9.101241598176468,65
2012-09-30,359889.3946930918,413872.80389705556,305905.98548912804,Trend_Seasonal,9,3,2012,True,,62.746028627003156,60
2012-10-31,405745.1917655584,466606.9705303921,344883.4130007246,Trend_Seasonal,10,4,2012,True,,12.741636110608855,55
2012-11-30,513289.4302381136,590282.8447738306,436296.0157023966,Trend_Seasonal,11,4,2012,True,,26.50536362602045,50
2012-12-31,189323.36093683814,217721.86507736385,160924.8567963124,Trend_Seasonal,12,4,2012,True,,-63.11567124049067,45
